Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00006 05/27/2025 - 05:21:33,SCI,-26.43,,44.02,6.08,12.03
Sample 00007 05/27/2025 - 05:21:38,SCI,-26.09,,44.12,6.02,12.01
Sample 00008 05/27/2025 - 05:21:42,SCI,-25.40,,44.27,5.88,12.07
