Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 06/19/2025 - 03:05:05,SCI,-50.38,,34.06,8.86,13.20
Sample 00002 06/19/2025 - 03:05:10,SCI,-49.62,,34.37,8.89,13.29
Sample 00003 06/19/2025 - 03:05:14,SCI,-49.63,,34.38,8.91,13.28
