Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 06/27/2025 - 02:10:56,SCI,-36.30,,39.50,8.11,14.29
Sample 00002 06/27/2025 - 02:11:00,SCI,-36.66,,39.58,8.34,14.00
Sample 00003 06/27/2025 - 02:11:05,SCI,-36.64,,39.40,8.34,14.25
