Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00002 05/06/2025 - 02:34:34,SCI,-48.13,,34.53,9.56,13.87
Sample 00003 05/06/2025 - 02:34:41,SCI,-48.41,,34.49,9.42,13.77
Sample 00004 05/06/2025 - 02:34:45,SCI,-49.42,,33.96,9.49,13.74
