Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00003 06/11/2025 - 09:24:19,SCI,-14.03,,46.41,8.48,14.35
Sample 00004 06/11/2025 - 09:24:23,SCI,-12.74,,46.76,8.68,14.33
Sample 00005 06/11/2025 - 09:24:28,SCI,-13.65,,46.52,8.60,14.31
