Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 06/03/2025 - 03:31:38,SCI,-32.89,,40.81,9.02,14.21
Sample 00002 06/03/2025 - 03:31:42,SCI,-33.36,,40.74,9.01,14.07
Sample 00003 06/03/2025 - 03:31:47,SCI,-33.20,,40.78,8.97,14.08
