Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 12/27/2024 - 06:08:28,SCI,-61.30,,32.29,8.31,9.70
Sample 00002 12/27/2024 - 06:08:45,SCI,-60.34,,32.69,8.36,9.86
Sample 00003 12/27/2024 - 06:08:52,SCI,-60.02,,32.87,8.46,9.88
