Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 04/15/2025 - 04:42:26,SCI,-67.78,,31.09,6.05,7.72
Sample 00002 04/15/2025 - 04:42:30,SCI,-68.38,,30.63,6.05,7.68
Sample 00003 04/15/2025 - 04:42:34,SCI,-69.51,,28.70,6.08,7.96
