Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 04/17/2025 - 04:05:13,SCI,-60.89,,31.43,8.70,10.34
Sample 00002 04/17/2025 - 04:05:17,SCI,-60.15,,31.71,8.79,10.50
Sample 00003 04/17/2025 - 04:05:21,SCI,-59.79,,31.80,8.74,10.60
