Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00006 05/06/2025 - 04:21:23,SCI,-46.45,,36.38,8.07,12.95
Sample 00007 05/06/2025 - 04:21:27,SCI,-46.35,,36.42,8.09,12.95
Sample 00008 05/06/2025 - 04:21:32,SCI,-45.39,,36.79,8.12,13.03
