Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 04/22/2025 - 04:59:39,SCI,-35.02,,39.78,8.22,14.58
Sample 00002 04/22/2025 - 04:59:44,SCI,-35.53,,39.62,8.31,14.54
Sample 00003 04/22/2025 - 04:59:48,SCI,-35.66,,39.60,8.31,14.50
