Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00003 05/13/2025 - 04:53:34,SCI,-9.67,,46.87,7.98,18.35
Sample 00004 05/13/2025 - 04:53:38,SCI,-8.73,,47.16,8.12,18.52
Sample 00005 05/13/2025 - 04:53:42,SCI,-8.60,,47.20,8.03,18.49
