Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 04/15/2025 - 02:43:24,SCI,-26.21,,41.69,10.11,16.89
Sample 00002 04/15/2025 - 02:43:29,SCI,-26.47,,41.60,10.15,16.86
Sample 00003 04/15/2025 - 02:43:33,SCI,-26.60,,41.56,10.18,16.86
