Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 05/27/2025 - 04:05:16,SCI,-29.31,,41.87,8.06,14.48
Sample 00002 05/27/2025 - 04:05:20,SCI,-29.74,,41.77,8.08,14.41
Sample 00003 05/27/2025 - 04:05:24,SCI,-29.82,,41.74,8.09,14.41
