Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 01/28/2025 - 02:24:35,SCI,-62.10,,31.81,7.63,9.63
Sample 00002 01/28/2025 - 02:24:40,SCI,-62.40,,31.63,7.60,9.60
Sample 00003 01/28/2025 - 02:24:44,SCI,-61.44,,32.08,7.71,9.75
