Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 06/03/2025 - 02:33:19,SCI,-63.19,,31.31,7.63,9.44
Sample 00002 06/03/2025 - 02:33:23,SCI,-62.79,,31.52,7.74,9.50
Sample 00003 06/03/2025 - 02:33:27,SCI,-62.59,,31.58,7.79,9.55
