Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 01/09/2025 - 04:44:29,SCI,-43.71,,36.30,9.76,14.33
Sample 00002 01/09/2025 - 04:44:33,SCI,-43.10,,36.55,9.76,14.37
Sample 00003 01/09/2025 - 04:44:37,SCI,-42.89,,36.67,9.82,14.36
