Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 05/22/2025 - 02:38:52,SCI,-62.38,,29.34,8.70,10.81
Sample 00002 05/22/2025 - 02:38:56,SCI,-62.29,,29.43,8.68,10.80
Sample 00003 05/22/2025 - 02:39:01,SCI,-62.30,,29.48,8.68,10.77
