Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00006 06/27/2025 - 03:43:01,SCI,-40.58,,37.68,9.39,14.38
Sample 00007 06/27/2025 - 03:43:05,SCI,-40.69,,37.67,9.36,14.34
Sample 00008 06/27/2025 - 03:43:09,SCI,-40.60,,37.73,9.26,14.32
