Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00003 06/10/2025 - 07:58:58,SCI,-63.08,,30.92,7.45,9.69
Sample 00004 06/10/2025 - 07:59:02,SCI,-62.78,,31.19,7.52,9.67
Sample 00005 06/10/2025 - 07:59:06,SCI,-64.25,,30.47,7.41,9.42
