Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 06/03/2025 - 01:59:55,SCI,-58.60,,32.81,8.07,10.49
Sample 00002 06/03/2025 - 01:59:59,SCI,-57.41,,33.44,7.99,10.59
Sample 00003 06/03/2025 - 02:00:03,SCI,-57.20,,33.55,8.03,10.60
