Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 06/17/2025 - 04:35:45,SCI,-28.22,,41.36,9.34,16.11
Sample 00002 06/17/2025 - 04:35:49,SCI,-27.49,,41.64,9.42,16.07
Sample 00003 06/17/2025 - 04:35:53,SCI,-28.30,,41.45,9.33,15.88
