Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00013 05/13/2025 - 04:01:57,SCI,-55.53,,34.98,8.38,10.31
Sample 00014 05/13/2025 - 04:02:01,SCI,-54.78,,35.30,8.34,10.38
Sample 00015 05/13/2025 - 04:02:06,SCI,-54.52,,35.36,8.27,10.43
