Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 05/27/2025 - 03:19:18,SCI,-31.60,,41.51,8.38,13.81
Sample 00002 05/27/2025 - 03:19:22,SCI,-31.14,,41.67,8.36,13.79
Sample 00003 05/27/2025 - 03:19:27,SCI,-31.21,,41.66,8.28,13.77
