Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 04/29/2025 - 06:38:45,SCI,-65.83,,30.77,7.42,8.63
Sample 00002 04/29/2025 - 06:38:49,SCI,-65.23,,31.01,7.45,8.76
Sample 00003 04/29/2025 - 06:38:53,SCI,-64.45,,31.33,7.58,8.93
