Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 06/03/2025 - 02:54:10,SCI,-27.79,,41.66,9.61,15.82
Sample 00002 06/03/2025 - 02:54:14,SCI,-29.16,,41.40,9.61,15.42
Sample 00003 06/03/2025 - 02:54:18,SCI,-27.70,,41.77,9.06,15.67
