Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00005 04/29/2025 - 04:46:04,SCI,-51.75,,35.04,7.51,11.80
Sample 00006 04/29/2025 - 04:46:09,SCI,-52.22,,34.95,7.53,11.67
Sample 00007 04/29/2025 - 04:46:13,SCI,-52.72,,34.80,7.57,11.57
