Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 04/29/2025 - 05:58:12,SCI,-61.51,,30.04,8.58,10.83
Sample 00002 04/29/2025 - 05:58:17,SCI,-61.32,,30.15,8.66,10.86
Sample 00003 04/29/2025 - 05:58:22,SCI,-60.86,,30.32,8.73,10.97
