Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 04/24/2025 - 02:46:39,SCI,-50.61,,33.41,10.13,13.62
Sample 00002 04/24/2025 - 02:46:43,SCI,-49.19,,33.96,10.05,13.85
Sample 00003 04/24/2025 - 02:46:48,SCI,-49.34,,33.94,10.04,13.79
