Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 06/27/2025 - 02:36:41,SCI,-56.03,,34.32,8.26,10.56
Sample 00002 06/27/2025 - 02:36:45,SCI,-55.39,,34.59,8.28,10.63
Sample 00003 06/27/2025 - 02:36:50,SCI,-56.18,,34.40,8.23,10.45
