Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00018 01/28/2025 - 01:33:19,SCI,-53.01,,35.63,7.82,10.82
Sample 00019 01/28/2025 - 01:33:23,SCI,-53.35,,35.60,7.72,10.71
Sample 00020 01/28/2025 - 01:33:27,SCI,-53.53,,35.45,7.62,10.75
