Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00003 05/06/2025 - 02:29:31,SCI,-27.42,,41.59,8.77,16.21
Sample 00004 05/06/2025 - 02:29:35,SCI,-28.04,,41.45,8.85,16.05
Sample 00005 05/06/2025 - 02:29:39,SCI,-27.11,,41.71,8.76,16.19
