Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00009 06/04/2025 - 06:05:31,SCI,-0.91,,49.72,11.38,17.39
Sample 00010 06/04/2025 - 06:05:35,SCI,-2.09,,49.36,11.19,17.62
Sample 00011 06/04/2025 - 06:05:39,SCI,-1.90,,49.42,11.17,17.58
