Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 04/17/2025 - 03:48:57,SCI,-56.11,,34.01,8.80,10.74
Sample 00002 04/17/2025 - 03:49:01,SCI,-56.37,,34.11,8.58,10.57
Sample 00003 04/17/2025 - 03:49:05,SCI,-56.55,,34.12,8.46,10.49
