Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00006 12/27/2024 - 06:23:33,SCI,-68.77,,31.54,6.54,7.17
Sample 00007 12/27/2024 - 06:23:41,SCI,-68.53,,31.84,6.53,7.14
Sample 00008 12/27/2024 - 06:23:47,SCI,-68.89,,31.75,6.47,7.05
