Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 05/20/2025 - 07:59:54,SCI,-33.94,,40.72,6.81,13.79
Sample 00002 05/20/2025 - 07:59:58,SCI,-34.26,,40.63,7.04,13.76
Sample 00003 05/20/2025 - 08:00:02,SCI,-34.61,,40.53,6.97,13.73
