Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 04/29/2025 - 05:02:44,SCI,-40.69,,36.58,9.93,15.62
Sample 00002 04/29/2025 - 05:02:49,SCI,-40.59,,36.62,9.96,15.62
Sample 00003 04/29/2025 - 05:02:53,SCI,-39.99,,36.89,9.95,15.63
