Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00004 06/27/2025 - 04:39:24,SCI,-42.12,,38.22,10.51,13.02
Sample 00005 06/27/2025 - 04:39:28,SCI,-42.33,,38.21,10.39,12.94
Sample 00006 06/27/2025 - 04:39:33,SCI,-42.58,,38.22,10.26,12.82
