Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00006 05/08/2025 - 04:55:30,SCI,-59.79,,29.53,8.85,11.92
Sample 00007 05/08/2025 - 04:55:34,SCI,-59.83,,29.55,8.82,11.89
Sample 00008 05/08/2025 - 04:55:38,SCI,-59.65,,29.75,8.82,11.86
