Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00005 12/27/2024 - 04:27:58,SCI,-40.23,,38.96,9.47,13.05
Sample 00006 12/27/2024 - 04:28:04,SCI,-40.76,,38.90,9.42,12.88
Sample 00007 12/27/2024 - 04:28:08,SCI,-40.72,,38.96,9.46,12.82
