Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 12/10/2024 - 05:34:02,SCI,-60.04,,32.27,8.51,10.22
Sample 00002 12/10/2024 - 05:34:07,SCI,-60.58,,32.09,8.46,10.10
Sample 00003 12/10/2024 - 05:34:12,SCI,-60.13,,32.24,8.49,10.20
