Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 01/28/2025 - 02:56:30,SCI,-71.70,,29.52,6.00,6.77
Sample 00002 01/28/2025 - 02:56:34,SCI,-71.78,,29.52,5.97,6.74
Sample 00003 01/28/2025 - 02:56:38,SCI,-71.51,,29.64,5.98,6.81
