Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00002 12/10/2024 - 02:56:26,SCI,-62.62,,32.49,8.12,9.07
Sample 00003 12/10/2024 - 02:56:31,SCI,-63.02,,32.35,8.11,8.99
Sample 00004 12/10/2024 - 02:56:35,SCI,-62.74,,32.43,8.17,9.05
