Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 12/10/2024 - 05:29:33,SCI,8.42,,53.33,10.68,22.50
Sample 00002 12/10/2024 - 05:29:39,SCI,8.30,,53.29,10.83,22.53
Sample 00003 12/10/2024 - 05:29:44,SCI,8.32,,53.29,10.76,22.46
