Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 12/10/2024 - 03:28:04,SCI,-30.77,,40.70,9.83,15.62
Sample 00002 12/10/2024 - 03:28:10,SCI,-31.29,,40.62,9.87,15.43
Sample 00003 12/10/2024 - 03:28:18,SCI,-32.17,,40.40,10.02,15.26
