Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00014 12/10/2024 - 02:37:09,SCI,-31.71,,40.38,10.06,15.58
Sample 00015 12/10/2024 - 02:37:14,SCI,-31.71,,40.36,10.03,15.61
Sample 00016 12/10/2024 - 02:37:20,SCI,-31.74,,40.31,9.97,15.66
