Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 12/12/2024 - 23:49:17,SCI,-68.63,,31.43,6.52,7.27
Sample 00002 12/12/2024 - 23:49:26,SCI,-67.92,,32.02,6.53,7.29
Sample 00003 12/12/2024 - 23:49:33,SCI,-68.83,,31.59,6.36,7.13
