"Marker Name","Description","In","Out","Duration","Marker Type","Marker Color"
,,"0.7","0.7","0","Comment","Green"
,,"1.9","1.9","0","Comment","Green"
,,"3.96666666666667","3.96666666666667","0","Comment","Green"
,,"5.76666666666667","5.76666666666667","0","Comment","Green"
,,"7.16666666666667","7.16666666666667","0","Comment","Green"
,,"8.86666666666667","8.86666666666667","0","Comment","Green"
,,"9.93333333333333","9.93333333333333","0","Comment","Green"
,,"11.4","11.4","0","Comment","Green"
,,"12.9666666666667","12.9666666666667","0","Comment","Green"
,,"15.1","15.1","0","Comment","Green"
,,"16.3333333333333","16.3333333333333","0","Comment","Green"
,,"17.3","17.3","0","Comment","Green"
,,"18.5666666666667","18.5666666666667","0","Comment","Green"
,,"20.3666666666667","20.3666666666667","0","Comment","Green"
,,"22.0666666666667","22.0666666666667","0","Comment","Green"
,,"25.4333333333333","25.4333333333333","0","Comment","Green"
,,"27.6666666666667","27.6666666666667","0","Comment","Green"
,,"30.4666666666667","30.4666666666667","0","Comment","Green"
,,"33.0666666666667","33.0666666666667","0","Comment","Green"
,,"34.8333333333333","34.8333333333333","0","Comment","Green"
,,"36.2","36.2","0","Comment","Green"
,,"38.2","38.2","0","Comment","Green"
,,"40.3","40.3","0","Comment","Green"
,,"41.4","41.4","0","Comment","Green"
,,"43.4","43.4","0","Comment","Green"
,,"45.8666666666667","45.8666666666667","0","Comment","Green"
,,"48.2666666666667","48.2666666666667","0","Comment","Green"
,,"50.5666666666667","50.5666666666667","0","Comment","Green"
,,"52.2","52.2","0","Comment","Green"
,,"54.1666666666667","54.1666666666667","0","Comment","Green"
,,"57.0666666666667","57.0666666666667","0","Comment","Green"
,,"58.8333333333333","58.8333333333333","0","Comment","Green"
,,"61.4","61.4","0","Comment","Green"
,,"63.1","63.1","0","Comment","Green"
,,"65.1","65.1","0","Comment","Green"
,,"67.2333333333333","67.2333333333333","0","Comment","Green"
,,"69.6333333333333","69.6333333333333","0","Comment","Green"
,,"71.6333333333333","71.6333333333333","0","Comment","Green"
,,"73.4","73.4","0","Comment","Green"
,,"75.2333333333333","75.2333333333333","0","Comment","Green"
,,"77.7","77.7","0","Comment","Green"
,,"79.5","79.5","0","Comment","Green"
,,"82.1333333333333","82.1333333333333","0","Comment","Green"
,,"84.3","84.3","0","Comment","Green"
,,"88.0666666666667","88.0666666666667","0","Comment","Green"
,,"90.0333333333333","90.0333333333333","0","Comment","Green"
,,"91.9333333333333","91.9333333333333","0","Comment","Green"
,,"93.8","93.8","0","Comment","Green"
,,"96.6666666666667","96.6666666666667","0","Comment","Green"
,,"99.2","99.2","0","Comment","Green"
,,"101.8","101.8","0","Comment","Green"
,,"103.733333333333","103.733333333333","0","Comment","Green"
,,"106.333333333333","106.333333333333","0","Comment","Green"
,,"108.7","108.7","0","Comment","Green"
,,"110.566666666667","110.566666666667","0","Comment","Green"
,,"112.966666666667","112.966666666667","0","Comment","Green"
,,"114.766666666667","114.766666666667","0","Comment","Green"
,,"117.166666666667","117.166666666667","0","Comment","Green"
,,"119.2","119.2","0","Comment","Green"
,,"121.233333333333","121.233333333333","0","Comment","Green"
,,"123.633333333333","123.633333333333","0","Comment","Green"
,,"125.4","125.4","0","Comment","Green"
,,"128","128","0","Comment","Green"
,,"129.966666666667","129.966666666667","0","Comment","Green"
,,"131.833333333333","131.833333333333","0","Comment","Green"
,,"133.6","133.6","0","Comment","Green"
,,"134.966666666667","134.966666666667","0","Comment","Green"
,,"136.6","136.6","0","Comment","Green"
,,"138.033333333333","138.033333333333","0","Comment","Green"
,,"140.433333333333","140.433333333333","0","Comment","Green"
,,"142.7","142.7","0","Comment","Green"
,,"144.433333333333","144.433333333333","0","Comment","Green"
,,"145.966666666667","145.966666666667","0","Comment","Green"
,,"147.466666666667","147.466666666667","0","Comment","Green"
,,"149.766666666667","149.766666666667","0","Comment","Green"
,,"152.566666666667","152.566666666667","0","Comment","Green"
,,"154.866666666667","154.866666666667","0","Comment","Green"
,,"156","156","0","Comment","Green"
,,"157.833333333333","157.833333333333","0","Comment","Green"
,,"159.733333333333","159.733333333333","0","Comment","Green"
,,"161.9","161.9","0","Comment","Green"
,,"163.866666666667","163.866666666667","0","Comment","Green"
,,"165.733333333333","165.733333333333","0","Comment","Green"
,,"167.533333333333","167.533333333333","0","Comment","Green"
,,"169.4","169.4","0","Comment","Green"
,,"172.233333333333","172.233333333333","0","Comment","Green"
,,"174.766666666667","174.766666666667","0","Comment","Green"
,,"176.6","176.6","0","Comment","Green"
,,"178.433333333333","178.433333333333","0","Comment","Green"
,,"180.5","180.5","0","Comment","Green"
,,"182.333333333333","182.333333333333","0","Comment","Green"
,,"184.433333333333","184.433333333333","0","Comment","Green"
