Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 12/10/2024 - 05:21:14,SCI,-66.69,,30.76,7.16,8.29
Sample 00002 12/10/2024 - 05:21:19,SCI,-66.55,,30.85,7.16,8.31
Sample 00003 12/10/2024 - 05:21:26,SCI,-66.37,,30.99,7.16,8.31
