Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00004 12/10/2024 - 03:20:16,SCI,-49.07,,34.99,9.59,13.01
Sample 00005 12/10/2024 - 03:20:23,SCI,-49.33,,34.92,9.62,12.96
Sample 00006 12/10/2024 - 03:20:30,SCI,-49.43,,34.90,9.63,12.93
