Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 12/10/2024 - 05:37:11,SCI,-57.31,,33.73,8.70,10.44
Sample 00002 12/10/2024 - 05:37:17,SCI,-57.35,,33.74,8.67,10.42
Sample 00003 12/10/2024 - 05:37:22,SCI,-57.47,,33.72,8.67,10.38
