Data Name,Specular Component,ITA D65_10°,Pseudo Color(10°/D65),L*(10°/D65),a*(10°/D65),b*(10°/D65)
Sample 00001 12/10/2024 - 03:12:36,SCI,-35.76,,39.01,9.93,15.26
Sample 00002 12/10/2024 - 03:12:42,SCI,-35.37,,39.13,9.87,15.32
Sample 00003 12/10/2024 - 03:12:50,SCI,-35.85,,39.00,9.86,15.23
